Hazard Name,Hazard Description,Likelihood,Severity
Security breach,Hazard involving: security breach.,1,1
Electromagnetic interference risk,Hazard involving: electromagnetic interference risk.,4,5
Explosion potential,Hazard involving: explosion potential.,3,4
Pressure system failure,Hazard involving: pressure system failure.,1,3
Person trapped,Hazard involving: person trapped.,4,1
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,2,4
Design deviation,Hazard involving: design deviation.,1,4
System redundancy failure,Hazard involving: system redundancy failure.,2,3
"Fire in vehicle, station, depot or trackside","Hazard involving: fire in vehicle, station, depot or trackside.",3,2
Flammable materials,Hazard involving: flammable materials.,1,2
EM interference affecting navigation/timing,Hazard involving: em interference affecting navigation/timing.,4,1
Flying object impact,Hazard involving: flying object impact.,4,1
Collision with object on track,Hazard involving: collision with object on track.,1,3
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,4,1
Insect/rodent/mould damage,Hazard involving: insect/rodent/mould damage.,5,5
Exposure to toxic/corrosive substances,Hazard involving: exposure to toxic/corrosive substances.,5,2
Egress/rescue hazard,Hazard involving: egress/rescue hazard.,2,3
Warning alarm failure,Hazard involving: warning alarm failure.,4,4
Electrical protection failure,Hazard involving: electrical protection failure.,1,1
Hostile act,Hazard involving: hostile act.,1,5
Damage repair failure,Hazard involving: damage repair failure.,4,5
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,3,2
Proof testing hazard,Hazard involving: proof testing hazard.,4,1
Pressure system failure,Hazard involving: pressure system failure.,5,3
Interlock failure,Hazard involving: interlock failure.,3,2
Support equipment hazard,Hazard involving: support equipment hazard.,1,5
Hydraulic arm or rotational machinery hazard,Hazard involving: hydraulic arm or rotational machinery hazard.,1,5
Explosion potential,Hazard involving: explosion potential.,1,2
Sharp object exposure,Hazard involving: sharp object exposure.,2,5
Laser radiation exposure,Hazard involving: laser radiation exposure.,5,5
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,2,1
PPE inadequacy,Hazard involving: ppe inadequacy.,1,1
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,2,5
Ventilation failure,Hazard involving: ventilation failure.,4,3
Damage containment failure,Hazard involving: damage containment failure.,3,4
Egress failure,Hazard involving: egress failure.,3,2
Hydraulic arm or rotational machinery hazard,Hazard involving: hydraulic arm or rotational machinery hazard.,1,4
Extreme pressure exposure,Hazard involving: extreme pressure exposure.,2,4
Interlock failure,Hazard involving: interlock failure.,2,2
Damage repair failure,Hazard involving: damage repair failure.,5,4
Hazardous material assembly issue,Hazard involving: hazardous material assembly issue.,1,1
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,3,3
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,2,1
Electromagnetic interference risk,Hazard involving: electromagnetic interference risk.,3,5
EM interference affecting navigation/timing,Hazard involving: em interference affecting navigation/timing.,2,2
Fall from height,Hazard involving: fall from height.,1,1
Pressure system failure,Hazard involving: pressure system failure.,1,4
Hazardous material assembly issue,Hazard involving: hazardous material assembly issue.,1,2
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,5,3
Sharp object exposure,Hazard involving: sharp object exposure.,2,2
Component substitution error,Hazard involving: component substitution error.,2,1
Exposure to toxic/corrosive substances,Hazard involving: exposure to toxic/corrosive substances.,3,5
Electromagnetic interference risk,Hazard involving: electromagnetic interference risk.,1,4
Fire or explosion hazard,Hazard involving: fire or explosion hazard.,1,2
System redundancy failure,Hazard involving: system redundancy failure.,5,4
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,1,4
Hostile act,Hazard involving: hostile act.,2,4
Explosion device,Hazard involving: explosion device.,5,3
Operator deviation,Hazard involving: operator deviation.,4,2
Electromagnetic interference risk,Hazard involving: electromagnetic interference risk.,3,5
Hardware/software control failure,Hazard involving: hardware/software control failure.,4,2
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,2,1
Fire or explosion hazard,Hazard involving: fire or explosion hazard.,3,5
Hydraulic arm or rotational machinery hazard,Hazard involving: hydraulic arm or rotational machinery hazard.,5,1
Flying object impact,Hazard involving: flying object impact.,2,2
Flying object impact,Hazard involving: flying object impact.,1,2
Maintenance error,Hazard involving: maintenance error.,3,4
Interlock failure,Hazard involving: interlock failure.,3,2
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,5,4
Design deviation,Hazard involving: design deviation.,3,2
Hydraulic system failure,Hazard involving: hydraulic system failure.,3,1
Virus infection,Hazard involving: virus infection.,2,4
"Flammable substances (solid, liquid, gas)","Hazard involving: flammable substances (solid, liquid, gas).",3,5
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,5,1
Toxic substance control failure,Hazard involving: toxic substance control failure.,1,4
Flammable materials,Hazard involving: flammable materials.,5,1
Explosion device,Hazard involving: explosion device.,5,5
PPE inadequacy,Hazard involving: ppe inadequacy.,4,1
Laser radiation exposure,Hazard involving: laser radiation exposure.,3,2
Component substitution error,Hazard involving: component substitution error.,2,2
Training inadequacy,Hazard involving: training inadequacy.,2,3
Power supply failure,Hazard involving: power supply failure.,4,1
Hostile act,Hazard involving: hostile act.,2,4
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,4,3
Interlock failure,Hazard involving: interlock failure.,3,3
"Slip, trip or fall hazard","Hazard involving: slip, trip or fall hazard.",3,2
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,4,5
Health hazard,Hazard involving: health hazard.,5,3
Hardware/software control failure,Hazard involving: hardware/software control failure.,2,3
Power supply failure,Hazard involving: power supply failure.,1,4
Hardware/software control failure,Hazard involving: hardware/software control failure.,5,4
Electrical source hazard,Hazard involving: electrical source hazard.,4,5
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,2,1
Explosion device,Hazard involving: explosion device.,4,2
Damage containment failure,Hazard involving: damage containment failure.,2,3
Proof testing hazard,Hazard involving: proof testing hazard.,4,4
System redundancy failure,Hazard involving: system redundancy failure.,3,3
Insect/rodent/mould damage,Hazard involving: insect/rodent/mould damage.,1,3
Fail-safe design failure,Hazard involving: fail-safe design failure.,3,1
Training inadequacy,Hazard involving: training inadequacy.,3,5
Sharp object exposure,Hazard involving: sharp object exposure.,5,2
User error,Hazard involving: user error.,1,5
Component substitution error,Hazard involving: component substitution error.,1,2
Interlock failure,Hazard involving: interlock failure.,3,4
Failure of passive protective system,Hazard involving: failure of passive protective system.,4,4
Impact from heavy object,Hazard involving: impact from heavy object.,5,1
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,5,1
Egress/rescue hazard,Hazard involving: egress/rescue hazard.,1,3
Extreme pressure exposure,Hazard involving: extreme pressure exposure.,1,2
Egress/rescue hazard,Hazard involving: egress/rescue hazard.,2,1
Cut or puncture projection exposure,Hazard involving: cut or puncture projection exposure.,3,1
Material incompatibilities,Hazard involving: material incompatibilities.,5,3
Exposure to toxic materials,Hazard involving: exposure to toxic materials.,1,1
Fire suppression system failure,Hazard involving: fire suppression system failure.,4,2
EM interference affecting navigation/timing,Hazard involving: em interference affecting navigation/timing.,1,2
Noise hazard,Hazard involving: noise hazard.,2,2
Proof testing hazard,Hazard involving: proof testing hazard.,4,2
"Fire in vehicle, station, depot or trackside","Hazard involving: fire in vehicle, station, depot or trackside.",3,1
Wet or uneven floor surface,Hazard involving: wet or uneven floor surface.,4,1
Collision between rail vehicles,Hazard involving: collision between rail vehicles.,4,1
Laser radiation exposure,Hazard involving: laser radiation exposure.,4,5
Toxic substance control failure,Hazard involving: toxic substance control failure.,2,2
Incident recording failure,Hazard involving: incident recording failure.,2,1
Egress failure,Hazard involving: egress failure.,5,2
Passive obstacle impact,Hazard involving: passive obstacle impact.,5,5
Hostile act,Hazard involving: hostile act.,2,1
Hydraulic arm or rotational machinery hazard,Hazard involving: hydraulic arm or rotational machinery hazard.,5,5
User error,Hazard involving: user error.,1,2
Derailment due to rolling stock fault,Hazard involving: derailment due to rolling stock fault.,4,4
Failure of passive protective system,Hazard involving: failure of passive protective system.,2,5
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,5,3
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,2,5
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,2,5
Fall from height,Hazard involving: fall from height.,3,2
Exposure to toxic materials,Hazard involving: exposure to toxic materials.,4,3
Material incompatibilities,Hazard involving: material incompatibilities.,1,5
Electrical source hazard,Hazard involving: electrical source hazard.,4,4
Exposure to toxic materials,Hazard involving: exposure to toxic materials.,2,2
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,4,2
Extreme pressure exposure,Hazard involving: extreme pressure exposure.,4,3
"Smoke exposure in vehicle, station or depot","Hazard involving: smoke exposure in vehicle, station or depot.",4,1
Hydraulic arm or rotational machinery hazard,Hazard involving: hydraulic arm or rotational machinery hazard.,3,2
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,5,1
Maintenance error,Hazard involving: maintenance error.,5,5
Design deviation,Hazard involving: design deviation.,5,2
Exposure to toxic materials,Hazard involving: exposure to toxic materials.,3,3
Design deviation,Hazard involving: design deviation.,2,2
PPE inadequacy,Hazard involving: ppe inadequacy.,2,2
Sharp tools or machinery,Hazard involving: sharp tools or machinery.,1,1
Derailment due to infrastructure failure,Hazard involving: derailment due to infrastructure failure.,4,1
Hazardous material storage issue,Hazard involving: hazardous material storage issue.,1,3
Health hazard,Hazard involving: health hazard.,4,2
Failure of passive protective system,Hazard involving: failure of passive protective system.,1,1
Sharp object exposure,Hazard involving: sharp object exposure.,5,2
Sharp object exposure,Hazard involving: sharp object exposure.,2,1
Person trapped,Hazard involving: person trapped.,2,5
Ventilation failure,Hazard involving: ventilation failure.,5,5
Collision with rail structure,Hazard involving: collision with rail structure.,4,4
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,1,4
Power supply failure,Hazard involving: power supply failure.,5,3
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,4,1
User error,Hazard involving: user error.,4,5
Interlock failure,Hazard involving: interlock failure.,1,2
Damage repair failure,Hazard involving: damage repair failure.,3,5
Derailment due to object on track,Hazard involving: derailment due to object on track.,1,3
Damage containment failure,Hazard involving: damage containment failure.,1,3
Drop hazard,Hazard involving: drop hazard.,5,1
Fire or explosion hazard,Hazard involving: fire or explosion hazard.,4,3
"Smoke exposure in vehicle, station or depot","Hazard involving: smoke exposure in vehicle, station or depot.",4,1
"Flammable substances (solid, liquid, gas)","Hazard involving: flammable substances (solid, liquid, gas).",1,2
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,5,1
Crash safety hazard,Hazard involving: crash safety hazard.,3,4
Proof testing hazard,Hazard involving: proof testing hazard.,1,2
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,5,2
System redundancy failure,Hazard involving: system redundancy failure.,1,5
Virus infection,Hazard involving: virus infection.,2,3
Flying object impact,Hazard involving: flying object impact.,3,4
Drop hazard,Hazard involving: drop hazard.,4,3
Passive obstacle impact,Hazard involving: passive obstacle impact.,1,1
Fail-safe design failure,Hazard involving: fail-safe design failure.,3,3
Damage containment failure,Hazard involving: damage containment failure.,1,2
Collision with rail structure,Hazard involving: collision with rail structure.,1,1
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,2,3
Proof testing hazard,Hazard involving: proof testing hazard.,4,3
Flammable materials,Hazard involving: flammable materials.,5,4
"Smoke exposure in vehicle, station or depot","Hazard involving: smoke exposure in vehicle, station or depot.",1,4
Inadvertent activation of system,Hazard involving: inadvertent activation of system.,2,3
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,2,3
Derailment due to rolling stock fault,Hazard involving: derailment due to rolling stock fault.,1,2
Electrical protection failure,Hazard involving: electrical protection failure.,3,2
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,3,4
Hostile act,Hazard involving: hostile act.,1,4
Supervision failure,Hazard involving: supervision failure.,1,2
Shock and vibration hazard,Hazard involving: shock and vibration hazard.,4,2
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,3,3
User error,Hazard involving: user error.,2,3
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,3,1
Electromagnetic interference risk,Hazard involving: electromagnetic interference risk.,5,4
Crash safety hazard,Hazard involving: crash safety hazard.,3,4
Fall from height,Hazard involving: fall from height.,4,2
Interlock failure,Hazard involving: interlock failure.,4,2
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,3,2
Component substitution error,Hazard involving: component substitution error.,4,1
Shock and vibration hazard,Hazard involving: shock and vibration hazard.,2,5
Fire or explosion hazard,Hazard involving: fire or explosion hazard.,3,5
Egress/rescue hazard,Hazard involving: egress/rescue hazard.,5,2
Exposure to toxic/corrosive substances,Hazard involving: exposure to toxic/corrosive substances.,2,2
Toxic substance control failure,Hazard involving: toxic substance control failure.,2,1
Sharp tools or machinery,Hazard involving: sharp tools or machinery.,3,1
"Slip, trip or fall hazard","Hazard involving: slip, trip or fall hazard.",1,1
Proof testing hazard,Hazard involving: proof testing hazard.,2,2
Hazard containment failure,Hazard involving: hazard containment failure.,4,3
Noise hazard,Hazard involving: noise hazard.,1,5
Drop hazard,Hazard involving: drop hazard.,2,2
Derailment due to infrastructure failure,Hazard involving: derailment due to infrastructure failure.,3,1
Operator deviation,Hazard involving: operator deviation.,3,5
Impact from heavy object,Hazard involving: impact from heavy object.,4,1
Collision with object on track,Hazard involving: collision with object on track.,4,5
Fire or explosion hazard,Hazard involving: fire or explosion hazard.,4,1
System redundancy failure,Hazard involving: system redundancy failure.,2,3
Damage containment failure,Hazard involving: damage containment failure.,4,2
Support equipment hazard,Hazard involving: support equipment hazard.,5,2
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,4,3
Collision with rail structure,Hazard involving: collision with rail structure.,3,5
Support equipment hazard,Hazard involving: support equipment hazard.,1,5
Explosion device,Hazard involving: explosion device.,1,4
Hazardous material assembly issue,Hazard involving: hazardous material assembly issue.,4,5
Power supply failure,Hazard involving: power supply failure.,4,1
Fail-safe design failure,Hazard involving: fail-safe design failure.,3,3
Laser radiation exposure,Hazard involving: laser radiation exposure.,1,1
Impact from heavy object,Hazard involving: impact from heavy object.,5,4
Electrical source hazard,Hazard involving: electrical source hazard.,1,4
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,2,2
Person trapped,Hazard involving: person trapped.,4,2
Drop hazard,Hazard involving: drop hazard.,4,2
Passive obstacle impact,Hazard involving: passive obstacle impact.,1,3
Hazard containment failure,Hazard involving: hazard containment failure.,3,4
Derailment due to overspeed,Hazard involving: derailment due to overspeed.,2,5
Proof testing hazard,Hazard involving: proof testing hazard.,1,3
Insect/rodent/mould damage,Hazard involving: insect/rodent/mould damage.,3,2
Noise hazard,Hazard involving: noise hazard.,1,2
Fire suppression system failure,Hazard involving: fire suppression system failure.,3,1
Explosion potential,Hazard involving: explosion potential.,5,3
Damage containment failure,Hazard involving: damage containment failure.,5,2
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,1,2
Virus infection,Hazard involving: virus infection.,1,5
Proof testing hazard,Hazard involving: proof testing hazard.,2,1
Operator deviation,Hazard involving: operator deviation.,2,5
Security breach,Hazard involving: security breach.,4,1
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,5,3
System redundancy failure,Hazard involving: system redundancy failure.,4,2
Exposed wiring or faulty equipment,Hazard involving: exposed wiring or faulty equipment.,3,4
Support equipment hazard,Hazard involving: support equipment hazard.,2,5
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,1,2
Hostile act,Hazard involving: hostile act.,4,2
Toxic or corrosive substance exposure,Hazard involving: toxic or corrosive substance exposure.,1,3
Operator deviation,Hazard involving: operator deviation.,4,3
Crash safety hazard,Hazard involving: crash safety hazard.,3,2
Warning alarm failure,Hazard involving: warning alarm failure.,5,1
"Slip, trip or fall hazard","Hazard involving: slip, trip or fall hazard.",4,3
Component substitution error,Hazard involving: component substitution error.,1,3
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,3,5
Electrical source hazard,Hazard involving: electrical source hazard.,2,5
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,1,3
Hardware/software control failure,Hazard involving: hardware/software control failure.,5,1
Hazardous material assembly issue,Hazard involving: hazardous material assembly issue.,2,2
Exposed wiring or faulty equipment,Hazard involving: exposed wiring or faulty equipment.,2,1
Hardware/software control failure,Hazard involving: hardware/software control failure.,4,1
User error,Hazard involving: user error.,5,1
Sharp object exposure,Hazard involving: sharp object exposure.,1,3
Derailment due to infrastructure failure,Hazard involving: derailment due to infrastructure failure.,1,2
Virus infection,Hazard involving: virus infection.,4,5
Hydraulic system failure,Hazard involving: hydraulic system failure.,4,5
Material incompatibilities,Hazard involving: material incompatibilities.,5,5
Impact from object falling from vehicle,Hazard involving: impact from object falling from vehicle.,4,5
Noise hazard,Hazard involving: noise hazard.,1,3
Hazardous surface hazard,Hazard involving: hazardous surface hazard.,1,5
Incident recording failure,Hazard involving: incident recording failure.,4,2
Ventilation failure,Hazard involving: ventilation failure.,5,2
Drop hazard,Hazard involving: drop hazard.,3,2
Proof testing hazard,Hazard involving: proof testing hazard.,2,4
Fall from height,Hazard involving: fall from height.,4,1
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,4,4
Derailment due to infrastructure failure,Hazard involving: derailment due to infrastructure failure.,3,3
Collision with object on track,Hazard involving: collision with object on track.,4,1
Explosion device,Hazard involving: explosion device.,2,1
Shock and vibration hazard,Hazard involving: shock and vibration hazard.,1,5
Impact from object falling from vehicle,Hazard involving: impact from object falling from vehicle.,3,2
Electrical source hazard,Hazard involving: electrical source hazard.,3,1
Hazardous material assembly issue,Hazard involving: hazardous material assembly issue.,5,3
Collision between rail vehicles,Hazard involving: collision between rail vehicles.,5,4
Component substitution error,Hazard involving: component substitution error.,5,3
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,2,4
Support equipment hazard,Hazard involving: support equipment hazard.,1,5
Impact from object falling from vehicle,Hazard involving: impact from object falling from vehicle.,1,4
Crash safety hazard,Hazard involving: crash safety hazard.,1,2
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,4,1
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,3,2
Derailment due to overspeed,Hazard involving: derailment due to overspeed.,5,3
Toxic or corrosive substance exposure,Hazard involving: toxic or corrosive substance exposure.,1,5
Damage containment failure,Hazard involving: damage containment failure.,4,4
Training inadequacy,Hazard involving: training inadequacy.,4,4
"Fire in vehicle, station, depot or trackside","Hazard involving: fire in vehicle, station, depot or trackside.",1,3
Failure of passive protective system,Hazard involving: failure of passive protective system.,4,5
Power supply failure,Hazard involving: power supply failure.,2,1
Component substitution error,Hazard involving: component substitution error.,2,4
Derailment due to object on track,Hazard involving: derailment due to object on track.,4,3
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,1,1
Collision with object on track,Hazard involving: collision with object on track.,4,2
Impact from heavy object,Hazard involving: impact from heavy object.,5,5
Power supply failure,Hazard involving: power supply failure.,5,3
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,2,3
Fail-safe design failure,Hazard involving: fail-safe design failure.,2,4
Sharp object exposure,Hazard involving: sharp object exposure.,2,5
Insect/rodent/mould damage,Hazard involving: insect/rodent/mould damage.,4,2
User error,Hazard involving: user error.,5,5
Fail-safe design failure,Hazard involving: fail-safe design failure.,5,5
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,2,1
Insect/rodent/mould damage,Hazard involving: insect/rodent/mould damage.,4,1
Supervision failure,Hazard involving: supervision failure.,2,5
Hazardous material storage issue,Hazard involving: hazardous material storage issue.,1,4
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,2,5
Hazardous material assembly issue,Hazard involving: hazardous material assembly issue.,5,2
Virus infection,Hazard involving: virus infection.,2,2
Damage containment failure,Hazard involving: damage containment failure.,3,2
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,5,4
Explosion device,Hazard involving: explosion device.,3,1
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,5,3
Cut or puncture projection exposure,Hazard involving: cut or puncture projection exposure.,5,2
Hazardous surface hazard,Hazard involving: hazardous surface hazard.,5,3
Person trapped,Hazard involving: person trapped.,4,2
Electrical source hazard,Hazard involving: electrical source hazard.,2,4
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,4,5
Power supply failure,Hazard involving: power supply failure.,4,1
PPE inadequacy,Hazard involving: ppe inadequacy.,4,5
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,4,5
Collision with rail structure,Hazard involving: collision with rail structure.,2,4
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,1,5
Electromagnetic interference risk,Hazard involving: electromagnetic interference risk.,2,3
Sharp tools or machinery,Hazard involving: sharp tools or machinery.,3,4
Material incompatibilities,Hazard involving: material incompatibilities.,4,4
Hazardous material assembly issue,Hazard involving: hazardous material assembly issue.,4,3
Noise hazard,Hazard involving: noise hazard.,1,4
Pressure system failure,Hazard involving: pressure system failure.,2,3
Hazardous material storage issue,Hazard involving: hazardous material storage issue.,1,4
Ventilation failure,Hazard involving: ventilation failure.,1,5
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,5,1
EM interference affecting navigation/timing,Hazard involving: em interference affecting navigation/timing.,3,3
Sharp object exposure,Hazard involving: sharp object exposure.,4,3
"Fire in vehicle, station, depot or trackside","Hazard involving: fire in vehicle, station, depot or trackside.",4,2
Derailment due to rolling stock fault,Hazard involving: derailment due to rolling stock fault.,3,2
Shock and vibration hazard,Hazard involving: shock and vibration hazard.,4,2
Hydraulic system failure,Hazard involving: hydraulic system failure.,5,2
Fire suppression system failure,Hazard involving: fire suppression system failure.,1,1
Damage repair failure,Hazard involving: damage repair failure.,2,1
Derailment due to rolling stock fault,Hazard involving: derailment due to rolling stock fault.,3,5
Proof testing hazard,Hazard involving: proof testing hazard.,4,1
Hydraulic arm or rotational machinery hazard,Hazard involving: hydraulic arm or rotational machinery hazard.,2,1
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,5,1
Derailment due to infrastructure failure,Hazard involving: derailment due to infrastructure failure.,3,2
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,2,2
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,4,1
Hazardous material storage issue,Hazard involving: hazardous material storage issue.,3,2
Derailment due to object on track,Hazard involving: derailment due to object on track.,1,1
Hostile act,Hazard involving: hostile act.,4,4
Collision with object on track,Hazard involving: collision with object on track.,5,3
Failure of passive protective system,Hazard involving: failure of passive protective system.,3,3
Damage containment failure,Hazard involving: damage containment failure.,3,4
Explosive substances,Hazard involving: explosive substances.,4,5
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,4,1
Fall from height,Hazard involving: fall from height.,4,4
Hazardous material storage issue,Hazard involving: hazardous material storage issue.,3,2
Flammable materials,Hazard involving: flammable materials.,3,3
Explosive substances,Hazard involving: explosive substances.,5,4
Flammable materials,Hazard involving: flammable materials.,4,4
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,5,1
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,5,2
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,5,3
Training inadequacy,Hazard involving: training inadequacy.,5,1
Collision between rail vehicles,Hazard involving: collision between rail vehicles.,1,2
Security breach,Hazard involving: security breach.,2,4
Laser radiation exposure,Hazard involving: laser radiation exposure.,1,3
Supervision failure,Hazard involving: supervision failure.,5,4
Egress failure,Hazard involving: egress failure.,3,1
Flammable materials,Hazard involving: flammable materials.,5,1
Warning alarm failure,Hazard involving: warning alarm failure.,3,5
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,4,3
Drop hazard,Hazard involving: drop hazard.,3,1
Drop hazard,Hazard involving: drop hazard.,4,2
Operator deviation,Hazard involving: operator deviation.,1,3
Sharp tools or machinery,Hazard involving: sharp tools or machinery.,1,1
Supervision failure,Hazard involving: supervision failure.,1,2
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,2,1
Inadvertent activation of system,Hazard involving: inadvertent activation of system.,2,3
Person trapped,Hazard involving: person trapped.,3,5
Hazardous surface hazard,Hazard involving: hazardous surface hazard.,4,5
Derailment due to rolling stock fault,Hazard involving: derailment due to rolling stock fault.,2,5
Person trapped,Hazard involving: person trapped.,3,3
Health hazard,Hazard involving: health hazard.,4,3
Training inadequacy,Hazard involving: training inadequacy.,4,3
Electrical protection failure,Hazard involving: electrical protection failure.,5,2
Hazardous construction materials,Hazard involving: hazardous construction materials.,3,1
Maintenance error,Hazard involving: maintenance error.,5,1
Operator deviation,Hazard involving: operator deviation.,2,1
Hostile act,Hazard involving: hostile act.,4,1
Training inadequacy,Hazard involving: training inadequacy.,5,5
Explosive substances,Hazard involving: explosive substances.,2,4
Sharp tools or machinery,Hazard involving: sharp tools or machinery.,4,5
Electrical protection failure,Hazard involving: electrical protection failure.,5,2
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,1,2
Hazardous material assembly issue,Hazard involving: hazardous material assembly issue.,3,3
Derailment due to overspeed,Hazard involving: derailment due to overspeed.,1,5
Drop hazard,Hazard involving: drop hazard.,3,5
Explosion potential,Hazard involving: explosion potential.,2,3
Supervision failure,Hazard involving: supervision failure.,4,3
Training inadequacy,Hazard involving: training inadequacy.,3,2
Impact from object falling from vehicle,Hazard involving: impact from object falling from vehicle.,4,2
PPE inadequacy,Hazard involving: ppe inadequacy.,4,5
Damage containment failure,Hazard involving: damage containment failure.,5,3
Security breach,Hazard involving: security breach.,1,3
Failure of passive protective system,Hazard involving: failure of passive protective system.,4,5
Cut or puncture projection exposure,Hazard involving: cut or puncture projection exposure.,4,2
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,3,4
Hostile act,Hazard involving: hostile act.,3,3
Egress failure,Hazard involving: egress failure.,4,2
"Slip, trip or fall hazard","Hazard involving: slip, trip or fall hazard.",4,3
Failure of passive protective system,Hazard involving: failure of passive protective system.,4,5
Electrical source hazard,Hazard involving: electrical source hazard.,1,4
Collision with rail structure,Hazard involving: collision with rail structure.,4,4
Laser radiation exposure,Hazard involving: laser radiation exposure.,3,5
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,5,2
Toxic or corrosive substance exposure,Hazard involving: toxic or corrosive substance exposure.,2,5
Derailment due to overspeed,Hazard involving: derailment due to overspeed.,2,5
Passive obstacle impact,Hazard involving: passive obstacle impact.,1,2
Hazardous material storage issue,Hazard involving: hazardous material storage issue.,3,3
Explosive substances,Hazard involving: explosive substances.,2,2
Maintenance error,Hazard involving: maintenance error.,2,2
Health hazard,Hazard involving: health hazard.,2,5
Health hazard,Hazard involving: health hazard.,1,3
Derailment due to rolling stock fault,Hazard involving: derailment due to rolling stock fault.,4,1
Explosion device,Hazard involving: explosion device.,3,2
Electrical source hazard,Hazard involving: electrical source hazard.,5,2
Failure of passive protective system,Hazard involving: failure of passive protective system.,3,4
"Flammable substances (solid, liquid, gas)","Hazard involving: flammable substances (solid, liquid, gas).",2,4
Maintenance error,Hazard involving: maintenance error.,3,4
Flammable materials,Hazard involving: flammable materials.,4,3
"Flammable substances (solid, liquid, gas)","Hazard involving: flammable substances (solid, liquid, gas).",2,5
Derailment due to rolling stock fault,Hazard involving: derailment due to rolling stock fault.,2,2
Training inadequacy,Hazard involving: training inadequacy.,3,3
